min,sec,tag
0,3,211113_YeomyungFS_left_000 [21]
0,40,211113_YeomyungFS_left_001 [5]
0,51,211113_YeomyungFS_left_002 [5]
1,10,211113_YeomyungFS_left_003 [5]
3,29,211113_YeomyungFS_left_004 [5]
4,25,211113_YeomyungFS_left_005 [8]
5,13,211113_YeomyungFS_left_006 [5]
5,58,211113_YeomyungFS_left_007 [8]
7,1,211113_YeomyungFS_left_008 [8]
9,16,211113_YeomyungFS_left_009 [5]
10,2,211113_YeomyungFS_left_010 [8]
13,38,211113_YeomyungFS_left_011 [7]
15,35,211113_YeomyungFS_left_012 [5]
17,9,211113_YeomyungFS_left_013 [13]
18,16,211113_YeomyungFS_left_014 [11]
19,52,211113_YeomyungFS_left_015 [5]
21,47,211113_YeomyungFS_left_016 [8]
25,13,211113_YeomyungFS_left_017 [11]
25,43,211113_YeomyungFS_left_018 [8]
25,54,211113_YeomyungFS_left_019 [5]
26,20,211113_YeomyungFS_left_020 [8]
26,59,211113_YeomyungFS_left_021 [12]
27,11,211113_YeomyungFS_left_022 [5]
27,44,211113_YeomyungFS_left_023 [8]
28,14,211113_YeomyungFS_left_024 [8]
28,23,211113_YeomyungFS_left_025 [5]
31,42,211113_YeomyungFS_left_026 [9]
32,47,211113_YeomyungFS_left_027 [11]
33,22,211113_YeomyungFS_left_028 [5]
38,0,211113_YeomyungFS_left_029 [5]
38,32,211113_YeomyungFS_left_030 [8]
39,0,211113_YeomyungFS_left_031 [5]
39,15,211113_YeomyungFS_left_032 [5]
40,27,211113_YeomyungFS_left_033 [8]
41,29,211113_YeomyungFS_left_034 [8]
42,43,211113_YeomyungFS_left_035 [5]
44,36,211113_YeomyungFS_left_036 [11]
51,3,211113_YeomyungFS_left_037 [5]
51,41,211113_YeomyungFS_left_038 [5]
52,47,211113_YeomyungFS_left_039 [5]
53,5,211113_YeomyungFS_left_040 [11]
53,20,211113_YeomyungFS_left_041 [5]
54,44,211113_YeomyungFS_left_042 [5]
54,49,211113_YeomyungFS_left_043 [5]
57,26,211113_YeomyungFS_left_044 [5]
59,44,211113_YeomyungFS_left_045 [5]
61,52,211113_YeomyungFS_left_046 [11]
62,15,211113_YeomyungFS_left_047 [7]
66,56,211113_YeomyungFS_left_048 [8]
68,42,211113_YeomyungFS_left_049 [8]
69,24,211113_YeomyungFS_left_050 [5]
70,11,211113_YeomyungFS_left_051 [5]
71,19,211113_YeomyungFS_left_052 [5]
75,31,211113_YeomyungFS_left_053 [5]
79,29,211113_YeomyungFS_left_054 [5]
80,32,211113_YeomyungFS_left_055 [5]
82,5,211113_YeomyungFS_left_056 [5]
83,0,211113_YeomyungFS_left_057 [7]
83,27,211113_YeomyungFS_left_058 [5]
85,39,211113_YeomyungFS_left_059 [8]
86,14,211113_YeomyungFS_left_060 [5]
87,6,211113_YeomyungFS_left_061 [8]
88,56,211113_YeomyungFS_left_062 [8]
91,27,211113_YeomyungFS_left_063 [8]
91,39,211113_YeomyungFS_left_064 [5]
97,22,211113_YeomyungFS_left_065 [5]
98,3,211113_YeomyungFS_left_066 [5]
98,18,211113_YeomyungFS_left_067 [5]
100,27,211113_YeomyungFS_left_068 [5]
102,20,211113_YeomyungFS_left_069 [8]
102,57,211113_YeomyungFS_left_070 [5]
103,3,211113_YeomyungFS_left_071 [5]
103,21,211113_YeomyungFS_left_072 [5]
103,28,211113_YeomyungFS_left_073 [5]
105,43,211113_YeomyungFS_left_074 [5]
107,3,211113_YeomyungFS_left_075 [15]
108,1,211113_YeomyungFS_left_076 [8]
108,53,211113_YeomyungFS_left_077 [8]
109,12,211113_YeomyungFS_left_078 [11]
109,25,211113_YeomyungFS_left_079 [5]
109,41,211113_YeomyungFS_left_080 [5]
109,57,211113_YeomyungFS_left_081 [14]
110,19,211113_YeomyungFS_left_082 [5]
110,32,211113_YeomyungFS_left_083 [9]
111,46,211113_YeomyungFS_left_084 [8]
112,19,211113_YeomyungFS_left_085 [11]
113,27,211113_YeomyungFS_left_086 [8]
113,35,211113_YeomyungFS_left_087 [5]
113,53,211113_YeomyungFS_left_088 [8]
115,41,211113_YeomyungFS_left_089 [5]
116,29,211113_YeomyungFS_left_090 [4]
117,25,211113_YeomyungFS_left_091 [11]
118,13,211113_YeomyungFS_left_092 [4]
119,14,211113_YeomyungFS_left_093 [8]
119,59,211113_YeomyungFS_left_094 [5]
120,30,211113_YeomyungFS_left_095 [5]
120,46,211113_YeomyungFS_left_096 [5]
121,6,211113_YeomyungFS_left_097 [15]
123,50,211113_YeomyungFS_left_098 [8]
123,59,211113_YeomyungFS_left_099 [5]
