min,sec,tag
1,6,211118_kaistmix_right_low_000 [5]
5,8,211118_kaistmix_right_low_001 [5]
5,20,211118_kaistmix_right_low_002 [5]
7,36,211118_kaistmix_right_low_003 [5]
8,9,211118_kaistmix_right_low_004 [5]
10,15,211118_kaistmix_right_low_005 [5]
17,40,211118_kaistmix_right_low_006 [5]
18,26,211118_kaistmix_right_low_007 [8]
20,1,211118_kaistmix_right_low_008 [5]
24,16,211118_kaistmix_right_low_009 [5]
25,29,211118_kaistmix_right_low_010 [5]
26,49,211118_kaistmix_right_low_011 [5]
29,1,211118_kaistmix_right_low_012 [5]
33,17,211118_kaistmix_right_low_013 [5]
34,14,211118_kaistmix_right_low_014 [11]
34,43,211118_kaistmix_right_low_015 [5]
35,26,211118_kaistmix_right_low_016 [5]
35,58,211118_kaistmix_right_low_017 [5]
39,4,211118_kaistmix_right_low_018 [8]
40,23,211118_kaistmix_right_low_019 [5]
42,6,211118_kaistmix_right_low_020 [5]
43,8,211118_kaistmix_right_low_021 [5]
45,26,211118_kaistmix_right_low_022 [5]
45,32,211118_kaistmix_right_low_023 [11]
47,50,211118_kaistmix_right_low_024 [5]
52,19,211118_kaistmix_right_low_025 [8]
52,58,211118_kaistmix_right_low_026 [5]
55,50,211118_kaistmix_right_low_027 [5]
59,40,211118_kaistmix_right_low_028 [5]
61,58,211118_kaistmix_right_low_029 [5]
68,35,211118_kaistmix_right_low_030 [5]
69,31,211118_kaistmix_right_low_031 [5]
71,10,211118_kaistmix_right_low_032 [10]
73,15,211118_kaistmix_right_low_033 [5]
74,2,211118_kaistmix_right_low_034 [8]
75,38,211118_kaistmix_right_low_035 [5]
77,0,211118_kaistmix_right_low_036 [5]
80,14,211118_kaistmix_right_low_037 [5]
80,54,211118_kaistmix_right_low_038 [5]
81,36,211118_kaistmix_right_low_039 [5]
82,16,211118_kaistmix_right_low_040 [5]
87,18,211118_kaistmix_right_low_041 [5]
88,22,211118_kaistmix_right_low_042 [5]
88,48,211118_kaistmix_right_low_043 [5]
92,57,211118_kaistmix_right_low_044 [5]
94,22,211118_kaistmix_right_low_045 [5]
95,46,211118_kaistmix_right_low_046 [5]
97,21,211118_kaistmix_right_low_047 [5]
98,23,211118_kaistmix_right_low_048 [5]
99,5,211118_kaistmix_right_low_049 [8]
101,4,211118_kaistmix_right_low_050 [5]
102,56,211118_kaistmix_right_low_051 [5]
104,15,211118_kaistmix_right_low_052 [5]
106,29,211118_kaistmix_right_low_053 [8]
106,51,211118_kaistmix_right_low_054 [5]
107,17,211118_kaistmix_right_low_055 [5]
107,56,211118_kaistmix_right_low_056 [5]
108,42,211118_kaistmix_right_low_057 [5]
108,47,211118_kaistmix_right_low_058 [5]
109,22,211118_kaistmix_right_low_059 [5]
110,55,211118_kaistmix_right_low_060 [8]
112,25,211118_kaistmix_right_low_061 [5]
112,51,211118_kaistmix_right_low_062 [5]
0,26,211118_kaistmix_left_low_000 [4]
1,7,211118_kaistmix_left_low_001 [5]
1,32,211118_kaistmix_left_low_002 [5]
4,45,211118_kaistmix_left_low_003 [5]
5,0,211118_kaistmix_left_low_004 [9]
7,57,211118_kaistmix_left_low_005 [5]
8,29,211118_kaistmix_left_low_006 [5]
9,12,211118_kaistmix_left_low_007 [11]
9,29,211118_kaistmix_left_low_008 [8]
11,9,211118_kaistmix_left_low_009 [4]
11,48,211118_kaistmix_left_low_010 [5]
12,25,211118_kaistmix_left_low_011 [5]
13,31,211118_kaistmix_left_low_012 [5]
13,39,211118_kaistmix_left_low_013 [4]
13,56,211118_kaistmix_left_low_014 [8]
14,58,211118_kaistmix_left_low_015 [12]
15,15,211118_kaistmix_left_low_016 [8]
15,30,211118_kaistmix_left_low_017 [5]
15,52,211118_kaistmix_left_low_018 [10]
16,11,211118_kaistmix_left_low_019 [5]
16,21,211118_kaistmix_left_low_020 [5]
16,37,211118_kaistmix_left_low_021 [5]
17,34,211118_kaistmix_left_low_022 [5]
18,58,211118_kaistmix_left_low_023 [5]
19,18,211118_kaistmix_left_low_024 [8]
19,28,211118_kaistmix_left_low_025 [5]
20,23,211118_kaistmix_left_low_026 [5]
22,31,211118_kaistmix_left_low_027 [5]
24,13,211118_kaistmix_left_low_028 [12]
25,15,211118_kaistmix_left_low_029 [5]
