min,sec,tag
9,17,allblack_211120_left_016 [11]
14,15,allblack_211120_left_022 [14]
21,4,allblack_211120_left_024 [5]
21,35,allblack_211120_left_025 [4]
24,16,allblack_211120_left_028 [11]
41,1,allblack_211120_left_044 [8]
46,22,allblack_211120_left_048 [5]
51,17,allblack_211120_left_050 [14]
52,31,allblack_211120_left_051 [11]
53,49,allblack_211120_left_052 [5]
35,14,allblack_211120_right_055 [11]
42,44,allblack_211120_right_062 [11]
44,19,allblack_211120_right_063 [5]
82,37,allblack_211120_left_072 [5]
83,22,allblack_211120_left_073 [5]
84,23,allblack_211120_left_074 [10]
87,49,allblack_211120_left_077 [11]
91,35,allblack_211120_left_078 [5]
92,11,allblack_211120_left_079 [8]
93,57,allblack_211120_left_080 [11]
95,28,allblack_211120_left_082 [5]
72,36,allblack_211120_right_089 [10]
73,45,allblack_211120_right_091 [13]
107,24,allblack_211120_left_094 [11]
110,3,allblack_211120_left_097 [5]
111,22,allblack_211120_left_099 [14]
112,1,allblack_211120_right_121 [8]
112,42,allblack_211120_left_101 [5]
113,36,allblack_211120_left_104 [4]
