min,sec,tag
0,0,211202_Nonstop_right_low_000 [11]
0,15,211202_Nonstop_right_low_001 [5]
0,30,211202_Nonstop_right_low_002 [20]
1,12,211202_Nonstop_right_low_003 [5]
1,24,211202_Nonstop_right_low_004 [5]
1,31,211202_Nonstop_right_low_005 [5]
2,31,211202_Nonstop_right_low_006 [11]
2,44,211202_Nonstop_right_low_007 [8]
5,53,211202_Nonstop_right_low_008 [4]
6,52,211202_Nonstop_right_low_009 [4]
7,28,211202_Nonstop_right_low_010 [5]
7,45,211202_Nonstop_right_low_011 [14]
8,2,211202_Nonstop_right_low_012 [5]
8,28,211202_Nonstop_right_low_013 [5]
9,52,211202_Nonstop_right_low_014 [5]
9,59,211202_Nonstop_right_low_015 [11]
10,30,211202_Nonstop_right_low_016 [5]
12,0,211202_Nonstop_right_low_017 [5]
12,19,211202_Nonstop_right_low_018 [5]
13,16,211202_Nonstop_right_low_019 [5]
15,15,211202_Nonstop_right_low_020 [5]
15,44,211202_Nonstop_right_low_021 [5]
16,0,211202_Nonstop_right_low_022 [5]
16,17,211202_Nonstop_right_low_023 [4]
16,24,211202_Nonstop_right_low_024 [5]
16,30,211202_Nonstop_right_low_025 [5]
16,42,211202_Nonstop_right_low_026 [5]
17,11,211202_Nonstop_right_low_027 [4]
17,49,211202_Nonstop_right_low_028 [5]
18,38,211202_Nonstop_right_low_029 [4]
19,19,211202_Nonstop_right_low_030 [5]
20,11,211202_Nonstop_right_low_031 [4]
20,59,211202_Nonstop_right_low_032 [5]
21,15,211202_Nonstop_right_low_033 [21]
21,40,211202_Nonstop_right_low_034 [15]
22,1,211202_Nonstop_right_low_035 [4]
23,14,211202_Nonstop_right_low_036 [22]
23,54,211202_Nonstop_right_low_037 [5]
25,52,211202_Nonstop_right_low_038 [15]
29,40,211202_Nonstop_right_low_039 [20]
30,18,211202_Nonstop_right_low_040 [21]
33,5,211202_Nonstop_right_low_041 [8]
35,7,211202_Nonstop_right_low_042 [8]
35,30,211202_Nonstop_right_low_043 [11]
35,43,211202_Nonstop_right_low_044 [5]
36,5,211202_Nonstop_right_low_045 [10]
36,40,211202_Nonstop_right_low_046 [14]
37,29,211202_Nonstop_right_low_047 [4]
46,20,211202_Nonstop_right_low_048 [5]
47,16,211202_Nonstop_right_low_049 [36]
47,54,211202_Nonstop_right_low_050 [5]
48,8,211202_Nonstop_right_low_051 [5]
48,15,211202_Nonstop_right_low_052 [7]
48,34,211202_Nonstop_right_low_053 [11]
48,56,211202_Nonstop_right_low_054 [5]
49,31,211202_Nonstop_right_low_055 [5]
49,39,211202_Nonstop_right_low_056 [4]
51,1,211202_Nonstop_right_low_057 [4]
52,24,211202_Nonstop_right_low_058 [5]
52,41,211202_Nonstop_right_low_059 [11]
53,27,211202_Nonstop_right_low_060 [18]
54,33,211202_Nonstop_right_low_061 [8]
54,42,211202_Nonstop_right_low_062 [5]
54,47,211202_Nonstop_right_low_063 [11]
55,1,211202_Nonstop_right_low_064 [10]
57,17,211202_Nonstop_right_low_065 [5]
57,32,211202_Nonstop_right_low_066 [5]
58,57,211202_Nonstop_right_low_067 [11]
62,4,211202_Nonstop_right_low_068 [5]
64,39,211202_Nonstop_right_low_069 [8]
66,48,211202_Nonstop_right_low_070 [17]
68,34,211202_Nonstop_right_low_071 [5]
73,2,211202_Nonstop_right_low_072 [14]
73,30,211202_Nonstop_right_low_073 [4]
76,20,211202_Nonstop_right_low_074 [14]
77,40,211202_Nonstop_right_low_075 [14]
81,26,211202_Nonstop_right_low_076 [5]
82,38,211202_Nonstop_right_low_077 [5]
83,49,211202_Nonstop_right_low_078 [11]
84,0,211202_Nonstop_right_low_079 [11]
84,13,211202_Nonstop_right_low_080 [12]
86,16,211202_Nonstop_right_low_081 [5]
89,15,211202_Nonstop_right_low_082 [11]
102,1,211202_Nonstop_right_low_083 [5]
103,42,211202_Nonstop_right_low_084 [5]
103,54,211202_Nonstop_right_low_085 [5]
104,9,211202_Nonstop_right_low_086 [5]
109,31,211202_Nonstop_right_low_087 [5]
113,47,211202_Nonstop_right_low_088 [13]
114,8,211202_Nonstop_right_low_089 [8]
3,0,211202_Nonstop_left_low_000 [5]
5,24,211202_Nonstop_left_low_001 [11]
6,51,211202_Nonstop_left_low_002 [8]
7,4,211202_Nonstop_left_low_003 [4]
7,56,211202_Nonstop_left_low_004 [5]
9,55,211202_Nonstop_left_low_005 [5]
11,46,211202_Nonstop_left_low_006 [4]
19,21,211202_Nonstop_left_low_007 [5]
20,39,211202_Nonstop_left_low_008 [4]
26,14,211202_Nonstop_left_low_009 [4]
28,9,211202_Nonstop_left_low_010 [5]
28,48,211202_Nonstop_left_low_011 [5]
30,15,211202_Nonstop_left_low_012 [5]
30,33,211202_Nonstop_left_low_013 [9]
31,57,211202_Nonstop_left_low_014 [8]
34,32,211202_Nonstop_left_low_015 [19]
34,55,211202_Nonstop_left_low_016 [5]
35,9,211202_Nonstop_left_low_017 [5]
36,37,211202_Nonstop_left_low_018 [46]
37,25,211202_Nonstop_left_low_019 [12]
37,44,211202_Nonstop_left_low_020 [5]
38,56,211202_Nonstop_left_low_021 [19]
39,41,211202_Nonstop_left_low_022 [14]
40,6,211202_Nonstop_left_low_023 [14]
40,20,211202_Nonstop_left_low_024 [11]
40,43,211202_Nonstop_left_low_025 [5]
40,49,211202_Nonstop_left_low_026 [4]
40,58,211202_Nonstop_left_low_027 [8]
41,10,211202_Nonstop_left_low_028 [8]
41,21,211202_Nonstop_left_low_029 [12]
42,4,211202_Nonstop_left_low_030 [25]
42,39,211202_Nonstop_left_low_031 [8]
42,51,211202_Nonstop_left_low_032 [5]
42,57,211202_Nonstop_left_low_033 [5]
43,24,211202_Nonstop_left_low_034 [5]
