min,sec,tag
0,6,211204_Uzbek_right_low_000 [5]
5,41,211204_Uzbek_right_low_001 [5]
13,16,211204_Uzbek_right_low_002 [5]
17,24,211204_Uzbek_right_low_003 [5]
20,15,211204_Uzbek_right_low_004 [5]
28,35,211204_Uzbek_right_low_005 [5]
31,57,211204_Uzbek_right_low_006 [4]
32,31,211204_Uzbek_right_low_007 [5]
36,29,211204_Uzbek_right_low_008 [5]
38,42,211204_Uzbek_right_low_009 [5]
39,21,211204_Uzbek_right_low_010 [5]
42,42,211204_Uzbek_right_low_011 [5]
44,16,211204_Uzbek_right_low_012 [4]
44,21,211204_Uzbek_right_low_013 [5]
46,54,211204_Uzbek_right_low_014 [5]
50,45,211204_Uzbek_right_low_015 [8]
51,5,211204_Uzbek_right_low_016 [5]
54,22,211204_Uzbek_right_low_017 [5]
61,12,211204_Uzbek_right_low_018 [5]
66,59,211204_Uzbek_right_low_019 [5]
68,27,211204_Uzbek_right_low_020 [5]
78,21,211204_Uzbek_right_low_021 [5]
85,21,211204_Uzbek_right_low_022 [4]
87,5,211204_Uzbek_right_low_023 [5]
87,22,211204_Uzbek_right_low_024 [5]
89,39,211204_Uzbek_right_low_025 [5]
90,10,211204_Uzbek_right_low_026 [5]
92,2,211204_Uzbek_right_low_027 [5]
94,48,211204_Uzbek_right_low_028 [5]
0,47,211204_Uzbek_left_low_000 [8]
1,2,211204_Uzbek_left_low_001 [20]
1,28,211204_Uzbek_left_low_002 [11]
1,45,211204_Uzbek_left_low_003 [8]
2,51,211204_Uzbek_left_low_004 [4]
4,25,211204_Uzbek_left_low_005 [5]
5,17,211204_Uzbek_left_low_006 [4]
7,24,211204_Uzbek_left_low_007 [14]
8,51,211204_Uzbek_left_low_008 [8]
10,11,211204_Uzbek_left_low_009 [5]
13,20,211204_Uzbek_left_low_010 [5]
15,51,211204_Uzbek_left_low_011 [5]
16,1,211204_Uzbek_left_low_012 [5]
16,54,211204_Uzbek_left_low_013 [5]
19,36,211204_Uzbek_left_low_014 [5]
28,29,211204_Uzbek_left_low_015 [5]
28,40,211204_Uzbek_left_low_016 [5]
31,48,211204_Uzbek_left_low_017 [5]
32,8,211204_Uzbek_left_low_018 [5]
33,39,211204_Uzbek_left_low_019 [5]
46,6,211204_Uzbek_left_low_020 [5]
48,42,211204_Uzbek_left_low_021 [5]
49,19,211204_Uzbek_left_low_022 [5]
49,48,211204_Uzbek_left_low_023 [5]
51,55,211204_Uzbek_left_low_024 [5]
53,51,211204_Uzbek_left_low_025 [5]
54,59,211204_Uzbek_left_low_026 [5]
55,23,211204_Uzbek_left_low_027 [5]
59,42,211204_Uzbek_left_low_028 [7]
60,43,211204_Uzbek_left_low_029 [5]
65,33,211204_Uzbek_left_low_030 [9]
72,48,211204_Uzbek_left_low_031 [5]
74,36,211204_Uzbek_left_low_032 [15]
76,26,211204_Uzbek_left_low_033 [11]
78,49,211204_Uzbek_left_low_034 [5]
78,57,211204_Uzbek_left_low_035 [5]
79,4,211204_Uzbek_left_low_036 [13]
79,36,211204_Uzbek_left_low_037 [4]
79,42,211204_Uzbek_left_low_038 [5]
84,51,211204_Uzbek_left_low_039 [4]
85,2,211204_Uzbek_left_low_040 [5]
86,24,211204_Uzbek_left_low_041 [5]
92,36,211204_Uzbek_left_low_042 [5]
94,34,211204_Uzbek_left_low_043 [5]
94,46,211204_Uzbek_left_low_044 [8]
96,14,211204_Uzbek_left_low_045 [5]
99,24,211204_Uzbek_left_low_046 [5]
99,30,211204_Uzbek_left_low_047 [11]
100,8,211204_Uzbek_left_low_048 [4]
100,23,211204_Uzbek_left_low_049 [8]
100,37,211204_Uzbek_left_low_050 [11]
100,52,211204_Uzbek_left_low_051 [5]
