min,sec,tag
0,36,211205_Sanghyunteam_right_low_000 [17]
1,4,211205_Sanghyunteam_right_low_001 [8]
1,32,211205_Sanghyunteam_right_low_002 [5]
5,22,211205_Sanghyunteam_right_low_003 [11]
8,56,211205_Sanghyunteam_right_low_004 [5]
11,2,211205_Sanghyunteam_right_low_005 [5]
11,37,211205_Sanghyunteam_right_low_006 [5]
11,49,211205_Sanghyunteam_right_low_007 [4]
13,47,211205_Sanghyunteam_right_low_008 [5]
14,37,211205_Sanghyunteam_right_low_009 [8]
17,11,211205_Sanghyunteam_right_low_010 [5]
20,24,211205_Sanghyunteam_right_low_011 [10]
22,47,211205_Sanghyunteam_right_low_012 [5]
25,29,211205_Sanghyunteam_right_low_013 [5]
27,6,211205_Sanghyunteam_right_low_014 [8]
28,16,211205_Sanghyunteam_right_low_015 [5]
30,37,211205_Sanghyunteam_right_low_016 [5]
37,21,211205_Sanghyunteam_right_low_017 [5]
40,33,211205_Sanghyunteam_right_low_018 [4]
41,48,211205_Sanghyunteam_right_low_019 [5]
42,26,211205_Sanghyunteam_right_low_020 [4]
42,49,211205_Sanghyunteam_right_low_021 [4]
43,2,211205_Sanghyunteam_right_low_022 [16]
44,35,211205_Sanghyunteam_right_low_023 [4]
48,18,211205_Sanghyunteam_right_low_024 [4]
48,55,211205_Sanghyunteam_right_low_025 [5]
50,15,211205_Sanghyunteam_right_low_026 [14]
50,33,211205_Sanghyunteam_right_low_027 [5]
51,44,211205_Sanghyunteam_right_low_028 [5]
51,59,211205_Sanghyunteam_right_low_029 [4]
52,28,211205_Sanghyunteam_right_low_030 [5]
53,50,211205_Sanghyunteam_right_low_031 [4]
53,59,211205_Sanghyunteam_right_low_032 [5]
54,15,211205_Sanghyunteam_right_low_033 [5]
54,23,211205_Sanghyunteam_right_low_034 [9]
54,42,211205_Sanghyunteam_right_low_035 [5]
54,58,211205_Sanghyunteam_right_low_036 [11]
55,16,211205_Sanghyunteam_right_low_037 [5]
55,26,211205_Sanghyunteam_right_low_038 [5]
55,46,211205_Sanghyunteam_right_low_039 [9]
56,20,211205_Sanghyunteam_right_low_040 [8]
58,39,211205_Sanghyunteam_right_low_041 [5]
58,59,211205_Sanghyunteam_right_low_042 [5]
