min,sec,tag
0,10,left_low_000 [5]
2,12,left_low_001 [8]
2,28,left_low_002 [5]
2,42,left_low_003 [4]
2,48,left_low_004 [5]
3,57,left_low_005 [8]
4,34,left_low_006 [5]
4,58,left_low_007 [5]
5,21,left_low_008 [7]
6,48,left_low_009 [5]
8,59,left_low_010 [5]
9,4,left_low_011 [5]
9,21,left_low_012 [5]
9,27,left_low_013 [5]
9,32,left_low_014 [5]
11,10,left_low_015 [14]
12,3,left_low_016 [5]
13,38,left_low_017 [20]
14,8,left_low_018 [8]
15,50,left_low_019 [8]
16,54,left_low_020 [5]
17,4,left_low_021 [17]
17,34,left_low_022 [12]
17,55,left_low_023 [5]
18,0,left_low_024 [21]
21,27,left_low_025 [4]
21,47,left_low_026 [5]
24,5,left_low_027 [4]
24,11,left_low_028 [5]
25,1,left_low_029 [4]
25,15,left_low_030 [5]
29,13,left_low_031 [5]
30,6,left_low_032 [5]
30,27,left_low_033 [5]
30,34,left_low_034 [5]
30,49,left_low_035 [5]
31,37,left_low_036 [8]
32,23,left_low_037 [5]
35,12,left_low_038 [5]
36,30,left_low_039 [5]
38,34,left_low_040 [8]
38,55,left_low_041 [5]
40,44,left_low_042 [5]
41,3,left_low_043 [5]
41,10,left_low_044 [10]
41,56,left_low_045 [5]
43,14,left_low_046 [11]
43,53,left_low_047 [5]
45,26,left_low_048 [4]
47,29,left_low_049 [5]
48,0,left_low_050 [5]
49,46,left_low_051 [15]
50,8,left_low_052 [9]
50,23,left_low_053 [11]
50,40,left_low_054 [8]
51,15,left_low_055 [14]
51,36,left_low_056 [11]
52,12,left_low_057 [9]
52,25,left_low_058 [5]
52,34,left_low_059 [5]
52,47,left_low_060 [5]
53,56,left_low_061 [5]
54,16,left_low_062 [12]
54,47,left_low_063 [5]
55,15,left_low_064 [14]
56,1,left_low_065 [16]
57,9,left_low_066 [8]
64,58,left_low_067 [5]
66,53,left_low_068 [8]
68,3,left_low_069 [11]
68,38,left_low_070 [5]
69,47,left_low_071 [13]
70,11,left_low_072 [5]
70,20,left_low_073 [5]
70,27,left_low_074 [5]
74,4,left_low_075 [5]
75,4,left_low_076 [17]
75,54,left_low_077 [5]
76,1,left_low_078 [8]
78,30,left_low_079 [4]
79,9,left_low_080 [4]
80,31,left_low_081 [5]
80,57,left_low_082 [4]
81,9,left_low_083 [5]
86,16,left_low_084 [5]
92,40,left_low_085 [8]
93,8,left_low_086 [15]
94,47,left_low_087 [5]
98,12,left_low_088 [5]
99,7,left_low_089 [5]
100,51,left_low_090 [4]
101,9,left_low_091 [5]
101,16,left_low_092 [5]
103,40,left_low_093 [5]
104,24,left_low_094 [7]
104,40,left_low_095 [15]
107,28,left_low_096 [4]
107,41,left_low_097 [5]
108,3,left_low_098 [11]
108,15,left_low_099 [5]
109,5,left_low_100 [5]
112,23,left_low_101 [5]
114,41,left_low_102 [5]
0,42,right_low_000 [8]
1,15,right_low_001 [13]
10,25,right_low_002 [5]
11,18,right_low_003 [4]
12,36,right_low_004 [4]
19,26,right_low_005 [14]
19,44,right_low_006 [8]
21,4,right_low_007 [19]
21,26,right_low_008 [5]
21,42,right_low_009 [10]
23,8,right_low_010 [5]
24,48,right_low_011 [5]
26,7,right_low_012 [5]
26,12,right_low_013 [35]
26,55,right_low_014 [13]
27,10,right_low_015 [11]
27,31,right_low_016 [5]
27,39,right_low_017 [5]
27,51,right_low_018 [5]
27,57,right_low_019 [5]
28,16,right_low_020 [14]
29,21,right_low_021 [12]
29,49,right_low_022 [8]
29,58,right_low_023 [20]
30,40,right_low_024 [5]
30,57,right_low_025 [5]
31,44,right_low_026 [5]
34,26,right_low_027 [5]
38,39,right_low_028 [5]
40,56,right_low_029 [5]
41,47,right_low_030 [5]
42,21,right_low_031 [10]
45,2,right_low_032 [5]
45,41,right_low_033 [5]
47,27,right_low_034 [5]
47,49,right_low_035 [11]
49,14,right_low_036 [5]
49,20,right_low_037 [5]
52,31,right_low_038 [8]
53,25,right_low_039 [8]
53,39,right_low_040 [5]
53,54,right_low_041 [11]
55,7,right_low_042 [5]
55,43,right_low_043 [32]
56,42,right_low_044 [5]
57,2,right_low_045 [5]
59,9,right_low_046 [5]
59,32,right_low_047 [5]
60,4,right_low_048 [12]
62,27,right_low_049 [5]
72,2,right_low_050 [4]
72,40,right_low_051 [5]
75,3,right_low_052 [5]
84,2,right_low_053 [27]
84,34,right_low_054 [36]
85,21,right_low_055 [11]
85,34,right_low_056 [16]
85,59,right_low_057 [7]
86,23,right_low_058 [5]
86,34,right_low_059 [5]
87,8,right_low_060 [21]
87,35,right_low_061 [5]
88,55,right_low_062 [5]
89,20,right_low_063 [5]
89,38,right_low_064 [8]
90,3,right_low_065 [4]
91,20,right_low_066 [4]
91,33,right_low_067 [9]
91,44,right_low_068 [5]
91,56,right_low_069 [5]
92,43,right_low_070 [12]
93,10,right_low_071 [9]
94,17,right_low_072 [5]
95,18,right_low_073 [5]
98,50,right_low_074 [5]
102,1,right_low_075 [5]
102,20,right_low_076 [8]
103,10,right_low_077 [5]
103,23,right_low_078 [5]
105,36,right_low_079 [8]
106,35,right_low_080 [11]
107,21,right_low_081 [17]
108,17,right_low_082 [5]
111,39,right_low_083 [5]
111,46,right_low_084 [10]
112,2,right_low_085 [5]
114,51,right_low_086 [8]
