min,sec,tag
6,20,211215_Vitalforce_main_low_000 [4]
6,45,211215_Vitalforce_main_low_001 [4]
7,15,211215_Vitalforce_main_low_002 [5]
7,53,211215_Vitalforce_main_low_003 [5]
10,15,211215_Vitalforce_main_low_004 [5]
10,49,211215_Vitalforce_main_low_005 [4]
14,54,211215_Vitalforce_main_low_006 [5]
21,27,211215_Vitalforce_main_low_007 [8]
22,12,211215_Vitalforce_main_low_008 [8]
22,33,211215_Vitalforce_main_low_009 [5]
23,11,211215_Vitalforce_main_low_010 [5]
28,39,211215_Vitalforce_main_low_011 [5]
33,34,211215_Vitalforce_main_low_012 [5]
36,46,211215_Vitalforce_main_low_013 [5]
44,16,211215_Vitalforce_main_low_014 [8]
47,32,211215_Vitalforce_main_low_015 [5]
47,51,211215_Vitalforce_main_low_016 [9]
48,13,211215_Vitalforce_main_low_017 [5]
48,25,211215_Vitalforce_main_low_018 [5]
52,54,211215_Vitalforce_main_low_019 [10]
54,28,211215_Vitalforce_main_low_020 [5]
56,34,211215_Vitalforce_main_low_021 [5]
57,49,211215_Vitalforce_main_low_022 [8]
58,22,211215_Vitalforce_main_low_023 [5]
67,27,211215_Vitalforce_main_low_024 [5]
68,23,211215_Vitalforce_main_low_025 [5]
70,58,211215_Vitalforce_main_low_026 [5]
78,20,211215_Vitalforce_main_low_027 [5]
79,14,211215_Vitalforce_main_low_028 [5]
84,36,211215_Vitalforce_main_low_029 [5]
86,56,211215_Vitalforce_main_low_030 [13]
89,48,211215_Vitalforce_main_low_031 [5]
92,28,211215_Vitalforce_main_low_032 [4]
95,34,211215_Vitalforce_main_low_033 [5]
97,49,211215_Vitalforce_main_low_034 [5]
99,3,211215_Vitalforce_main_low_035 [8]
100,27,211215_Vitalforce_main_low_036 [5]
104,15,211215_Vitalforce_main_low_037 [9]
104,46,211215_Vitalforce_main_low_038 [10]
105,55,211215_Vitalforce_main_low_039 [5]
108,23,211215_Vitalforce_main_low_040 [4]
111,41,211215_Vitalforce_main_low_041 [5]
111,52,211215_Vitalforce_main_low_042 [5]
