min,sec,tag
0,0,VID_20211220_202140_0003_1_000 [5]
1,31,VID_20211220_202140_0003_1_001 [5]
1,41,VID_20211220_202140_0003_1_002 [5]
2,7,VID_20211220_202140_0003_1_003 [10]
3,25,VID_20211220_202140_0003_1_004 [5]
5,7,VID_20211220_202140_0003_1_005 [5]
7,26,VID_20211220_202140_0003_1_006 [9]
8,4,VID_20211220_202140_0003_1_007 [8]
10,13,VID_20211220_202140_0003_1_008 [5]
11,1,VID_20211220_202140_0003_1_009 [8]
15,22,VID_20211220_202140_0003_1_010 [5]
15,39,VID_20211220_202140_0003_1_011 [4]
18,13,VID_20211220_202140_0003_1_012 [9]
18,23,VID_20211220_202140_0003_1_013 [4]
20,11,VID_20211220_202140_0003_1_014 [5]
20,17,VID_20211220_202140_0003_1_015 [5]
24,50,VID_20211220_202140_0003_1_016 [4]
25,1,VID_20211220_202140_0003_1_017 [8]
30,56,VID_20211220_202140_0003_1_018 [35]
31,34,VID_20211220_202140_0003_1_019 [8]
31,43,VID_20211220_202140_0003_1_020 [11]
39,14,VID_20211220_202140_0003_1_021 [8]
43,57,VID_20211220_202140_0003_1_022 [5]
45,52,VID_20211220_202140_0003_1_023 [4]
45,57,VID_20211220_202140_0003_1_024 [5]
46,41,VID_20211220_202140_0003_1_025 [5]
48,13,VID_20211220_202140_0003_1_026 [7]
49,45,VID_20211220_202140_0003_1_027 [4]
50,41,VID_20211220_202140_0003_1_028 [5]
52,32,VID_20211220_202140_0003_1_029 [8]
58,12,VID_20211220_202140_0003_1_030 [5]
60,35,VID_20211220_202140_0003_1_031 [11]
61,50,VID_20211220_202140_0003_1_032 [7]
62,3,VID_20211220_202140_0003_1_033 [5]
63,31,VID_20211220_202140_0003_1_034 [5]
63,39,VID_20211220_202140_0003_1_035 [5]
64,35,VID_20211220_202140_0003_1_036 [5]
65,19,VID_20211220_202140_0003_1_037 [5]
66,48,VID_20211220_202140_0003_1_038 [5]
68,2,VID_20211220_202140_0003_1_039 [9]
68,15,VID_20211220_202140_0003_1_040 [5]
70,50,VID_20211220_202140_0003_1_041 [5]
72,8,VID_20211220_202140_0003_1_042 [5]
72,16,VID_20211220_202140_0003_1_043 [5]
72,36,VID_20211220_202140_0003_1_044 [5]
73,20,VID_20211220_202140_0003_1_045 [8]
76,44,VID_20211220_202140_0003_1_046 [11]
77,34,VID_20211220_202140_0003_1_047 [5]
78,30,VID_20211220_202140_0003_1_048 [4]
80,32,VID_20211220_202140_0003_1_049 [5]
83,7,VID_20211220_202140_0003_1_050 [8]
84,19,VID_20211220_202140_0003_1_051 [5]
90,5,VID_20211220_202140_0003_1_052 [5]
90,20,VID_20211220_202140_0003_1_053 [20]
90,54,VID_20211220_202140_0003_1_054 [5]
91,7,VID_20211220_202140_0003_1_055 [7]
91,39,VID_20211220_202140_0003_1_056 [5]
91,58,VID_20211220_202140_0003_1_057 [11]
95,36,VID_20211220_202140_0003_1_058 [8]
96,40,VID_20211220_202140_0003_1_059 [5]
98,23,VID_20211220_202140_0003_1_060 [8]
100,23,VID_20211220_202140_0003_1_061 [4]
100,38,VID_20211220_202140_0003_1_062 [5]
101,31,VID_20211220_202140_0003_1_063 [5]
102,44,VID_20211220_202140_0003_1_064 [5]
103,52,VID_20211220_202140_0003_1_065 [5]
104,10,VID_20211220_202140_0003_1_066 [5]
104,34,VID_20211220_202140_0003_1_067 [4]
105,33,VID_20211220_202140_0003_1_068 [5]
107,53,VID_20211220_202140_0003_1_069 [5]
112,19,VID_20211220_202140_0003_1_070 [5]
114,20,VID_20211220_202140_0003_1_071 [7]
116,6,VID_20211220_202140_0003_1_072 [5]
